verbLemma,theme,verbSense
mail,something,Transfer Posession
mail,the letter,Communication
mail,a note,Communication
mail,a gift,Communication
offer,the gift,Future Posession 
offer,the job,Abstract
offer,some advice,Abstract
offer,something,Future Posession 
offer,a payment,Future Posession 
owe,the funds,Future Posession 
owe,a favor,Abstract
owe,a job,Abstract
owe,the money,Future Posession 
owe,something,Future Posession 
pass,something,Transfer Posession
pass,the salt,Transfer Posession
pass,the hat,Transfer Posession
pass,a note,Transfer Posession
pass,some cake,Transfer Posession
pay,a visit,Abstract
pay,the money,Transfer Posession
pay,the fee,Transfer Posession
pay,a compliment,Communication
pay,something,Transfer Posession
peddle,some handbags,Transfer Posession
peddle,snake-oil,Abstract
peddle,the magic potion,Transfer Posession
peddle,some souvenirs,Transfer Posession
peddle,something,Transfer Posession
phone,the message,Communication
phone,a welcome,Communication
phone,something,Communication
phone,a request,Communication
phone,the greetings,Communication
pitch,the idea,Communication
pitch,the suggestion,Communication
pitch,something,Communication
pitch,a proposal,Communication
pitch,a candidate,Communication
post,a box,Transfer Posession
post,some papers,Transfer Posession
post,the letter,Communication
post,the package,Transfer Posession
post,something,Transfer Posession
preach,the truth,Communication
preach,the gospel,Communication
preach,a story,Communication
preach,something,Communication
preach,a sermon,Communication
promise,a car,Future Posession 
promise,something,Communication
promise,the vacation,Future Posession 
promise,the job,Future Posession 
promise,a chance,Communication
pull,the chair,Transfer Posession
pull,the boat,Transfer Posession
pull,a seat,Transfer Posession
pull,a box,Transfer Posession
pull,something,Transfer Posession
punt,a ball,Transfer Posession
punt,a question,Communication
punt,the football,Transfer Posession
punt,the idea,Communication
punt,something,Transfer Posession
push,the box,Transfer Posession
push,a plate,Transfer Posession
push,a book,Transfer Posession
push,something,Transfer Posession
push,the suitcase,Transfer Posession
quote,a sentence,Communication
quote,some results,Communication
quote,something,Communication
quote,the passage,Communication
quote,the speech,Communication
radio,a location,Communication
radio,something,Communication
radio,the news,Communication
radio,some directions,Communication
radio,the instructons,Communication
read,the book,Communication
read,a note,Communication
read,the article,Communication
read,a story,Communication
read,something,Communication
refund,the amount,Transfer Posession
refund,a sum,Transfer Posession
refund,a charge,Transfer Posession
refund,something,Transfer Posession
refund,the money,Transfer Posession
relay,some findings,Communication
relay,something,Communication
relay,some information,Communication
relay,the results,Communication
relay,the message,Communication
rent,the apartment,Transfer Posession
rent,a room,Transfer Posession
rent,the space,Transfer Posession
rent,something,Transfer Posession
rent,some equipment,Transfer Posession
repay,the favor,Abstract
repay,some money,Transfer Posession
repay,the rent,Transfer Posession
repay,some funds,Transfer Posession
repay,something,Transfer Posession
roll,a baseball,Transfer Posession
roll,a can,Transfer Posession
roll,something,Transfer Posession
roll,the dice,Transfer Posession
roll,the ball,Transfer Posession
row,some goods,Transfer Posession
row,something,Transfer Posession
row,the supplies,Transfer Posession
row,the package,Transfer Posession
row,some medicine,Transfer Posession
sell,the car,Transfer Posession
sell,some coffee,Transfer Posession
sell,a bike,Transfer Posession
sell,the house,Transfer Posession
sell,something,Transfer Posession
send,something,Transfer Posession
send,a text,Communication
send,the present,Transfer Posession
send,an email,Communication
send,the letter,Communication
ship,a package,Transfer Posession
ship,the letter,Transfer Posession
ship,a box,Transfer Posession
ship,something,Transfer Posession
ship,the present,Transfer Posession
shoot,a glance,Abstract
shoot,something,Transfer Posession
shoot,the e-mail,Communication
shoot,the look,Abstract
shoot,a text,Communication
shove,a box,Transfer Posession
shove,the plate,Transfer Posession
shove,a letter,Communication
shove,something,Transfer Posession
shove,the glass,Transfer Posession
show,a picture,Transfer Posession
show,a trick,Abstract
show,the way,Abstract
show,the city,Abstract
show,something,Communication
shuttle,the packages,Transfer Posession
shuttle,the students,Transfer Posession
shuttle,some instruments,Transfer Posession
shuttle,some suitcases,Transfer Posession
shuttle,something,Transfer Posession
signal,a score,Communication
signal,a formation,Abstract
signal,the time,Communication
signal,her intentions,Abstract
signal,something,Communication
slam,a beer,Transfer Posession
slam,something,Transfer Posession
slam,the money,Transfer Posession
slam,a fastball,Transfer Posession
slam,the ball,Transfer Posession
slap,a ticket,Transfer Posession
slap,something,Transfer Posession
slap,the ball,Transfer Posession
slap,a fine,Transfer Posession
slap,the packet,Transfer Posession
slide,the dice,Transfer Posession
slide,a drink,Transfer Posession
slide,something,Transfer Posession
slide,the ball,Transfer Posession
slide,a note,Communication
sling,something,Transfer Posession
sling,the ball,Transfer Posession
sling,a glance,Abstract
sling,a bag,Transfer Posession
sling,the drink,Transfer Posession
slip,the note,Communication
slip,the sandwich,Transfer Posession
slip,a pill,Transfer Posession
slip,something,Transfer Posession
slip,some instructions,Communication
smuggle,the packages,Transfer Posession
smuggle,the students,Transfer Posession
smuggle,something,Transfer Posession
smuggle,a knife,Transfer Posession
smuggle,some instruments,Transfer Posession
sneak,the drink,Transfer Posession
sneak,the note,Transfer Posession
sneak,something,Transfer Posession
sneak,a look,Abstract
sneak,a cookie,Transfer Posession
take,the blanket,Transfer Posession
take,a gift,Transfer Posession
take,a cake,Transfer Posession
take,something,Transfer Posession
take,the meal,Transfer Posession
teach,a concept,Communication
teach,something,Communication
teach,the piece,Communication
teach,an idea,Communication
teach,the lines,Communication
telephone,the results,Communication
telephone,some news,Communication
telephone,the message,Communication
telephone,some information,Communication
telephone,something,Communication
tell,the tale,Communication
tell,the news,Communication
tell,a story,Communication
tell,some information,Communication
tell,something,Communication
throw,the blanket,Transfer Posession
throw,a book,Transfer Posession
throw,something,Transfer Posession
throw,the ball,Transfer Posession
throw,a soda,Transfer Posession
tip,ten bucks,Transfer Posession
tip,a grand,Transfer Posession
tip,a dollar,Transfer Posession
tip,fifteen percent,Transfer Posession
tip,something,Transfer Posession
toss,a key,Transfer Posession
